Date, Open, High, Low, Close, Volume
07/16/24, 28.18, 28.84, 27.47, 28.67, 59330680
07/15/24, 28.42, 29.30, 27.90, 28.67, 49186352
07/12/24, 27.32, 28.13, 27.28, 28.07, 30760270
07/11/24, 28.49, 28.59, 26.90, 27.64, 61546059
07/10/24, 27.50, 28.47, 27.37, 28.42, 43231031
07/09/24, 27.93, 28.38, 27.23, 27.39, 53226527
07/08/24, 27.93, 27.986, 26.84, 27.70, 59611160
07/05/24, 26.00, 27.25, 25.975, 27.23, 46703727
07/03/24, 25.96, 26.27, 25.76, 25.85, 18433840
07/02/24, 25.84, 26.43, 25.75, 25.83, 32148240
07/01/24, 25.48, 26.02, 25.1421, 25.88, 33167922
06/28/24, 25.28, 25.57, 25.03, 25.33, 38886441
06/27/24, 24.10, 25.40, 24.05, 25.22, 37882859
06/26/24, 24.47, 24.66, 24.025, 24.10, 24331381
06/25/24, 24.16, 24.63, 23.9201, 24.56, 29657250
06/24/24, 23.44, 24.3874, 23.30, 24.16, 36477406
06/21/24, 24.71, 26.09, 23.53, 23.84, 69981586
06/20/24, 26.44, 26.57, 25.155, 25.56, 66734961
06/18/24, 25.15, 26.025, 24.83, 25.82, 54458578
06/17/24, 23.47, 25.06, 23.45, 25.02, 54101500
06/14/24, 23.15, 23.72, 22.84, 23.57, 26618279
06/13/24, 23.85, 24.14, 23.15, 23.27, 26035051
06/12/24, 24.20, 24.33, 23.57, 23.77, 38542719
06/11/24, 23.06, 23.95, 22.89, 23.85, 30601850
06/10/24, 22.75, 23.16, 22.66, 23.13, 31509279
06/07/24, 23.24, 23.57, 23.06, 23.31, 37149879
06/06/24, 22.98, 23.95, 22.98, 23.79, 60400367
06/05/24, 22.48, 22.98, 22.22, 22.96, 39825391
06/04/24, 21.05, 22.26, 21.04, 22.10, 41974047
06/03/24, 21.70, 21.79, 21.005, 21.32, 33876070
05/31/24, 21.79, 22.20, 21.31, 21.68, 44416070
05/30/24, 21.28, 21.96, 21.02, 21.73, 47583129
05/29/24, 20.77, 20.99, 20.64, 20.94, 24834240
05/28/24, 21.06, 21.22, 20.73, 21.05, 26274189
05/24/24, 20.72, 21.15, 20.65, 21.01, 22158711
05/23/24, 21.39, 21.5198, 20.63, 20.72, 36887633
05/22/24, 21.23, 21.42, 21.08, 21.17, 25212471
05/21/24, 21.34, 21.45, 21.12, 21.24, 27953961
05/20/24, 21.77, 21.77, 21.22, 21.62, 35255262
05/17/24, 21.78, 22.1693, 21.56, 21.76, 30032250
05/16/24, 21.74, 21.87, 21.535, 21.65, 27416680
05/15/24, 21.73, 21.8099, 21.185, 21.67, 39424031
05/14/24, 20.95, 22.07, 20.93, 21.44, 57894352
05/13/24, 20.60, 21.19, 20.60, 20.94, 37524809
05/10/24, 21.27, 21.37, 20.50, 20.60, 59845406
05/09/24, 21.49, 21.58, 20.94, 21.14, 54101941
05/08/24, 21.58, 21.73, 21.06, 21.56, 67582883
05/07/24, 21.99, 22.70, 21.35, 21.40, 161061594
05/06/24, 24.37, 25.355, 24.03, 25.21, 175936609
05/03/24, 23.48, 23.64, 22.91, 23.33, 55976406
05/02/24, 22.60, 22.715, 22.10, 22.55, 30396131
05/01/24, 21.93, 22.83, 21.63, 22.12, 34812848
04/30/24, 22.77, 22.87, 21.95, 21.97, 30511881
04/29/24, 22.75, 23.09, 22.545, 22.83, 30330699
04/26/24, 22.05, 22.67, 21.91, 22.52, 33119770
04/25/24, 20.82, 21.7399, 20.66, 21.71, 26226711
04/24/24, 22.05, 22.25, 21.30, 21.59, 34426480
04/23/24, 21.25, 22.06, 21.23, 21.64, 36304633
04/22/24, 20.72, 21.08, 20.36, 20.97, 31894520
04/19/24, 20.98, 21.43, 20.33, 20.47, 39632594
04/18/24, 21.25, 21.43, 20.70, 21.13, 34550539
04/17/24, 22.01, 22.11, 21.22, 21.31, 30139801
04/16/24, 21.59, 21.99, 21.27, 21.88, 33869199
04/15/24, 22.79, 23.13, 21.83, 21.90, 38182078
04/12/24, 22.70, 23.20, 22.41, 22.67, 36764461
